,binary__offer_expiration,ordinal__income_range,ordinal__no_visited_cold_drinks,binary__travelled_more_than_15mins_for_offer,ordinal__restaur_spend_less_than20,nominal__marital_status,nominal__restaurant_type,ordinal__age,binary__prefer_western_over_chinese,binary__travelled_more_than_25mins_for_offer,ordinal__no_visited_bars,binary__gender,nominal__car,binary__restuarant_same_direction_house,binary__cooks_regularly,nominal__customer_type,ordinal__qualif,binary__is_foodie,ordinal__no_take_aways,nominal__job_industry,binary__restuarant_opposite_direction_house,binary__has_children,ordinal__type_of_rest_rating,interval__temperature,ordinal__restaur_spend_greater_than20,interval__travel_time,interval__season,ordinal__dest_distance,binary__prefer_home_food,nominal__pref_profile,nominal__biz_type,nominal__spend_id,nominal__direction,nominal__extra_travel,nominal__circumstance,target
952,1,4,0,1,4,1,0,1,0,0,0,0,0,1,1,0,2,1,0,3,0,0,1,89,1,22,2,2,0,5,1,9,1,2,7,0.0
953,1,5,1,0,1,0,4,5,0,0,1,1,0,0,1,3,3,1,1,0,1,1,3,89,1,14,1,1,0,5,9,6,2,0,36,1.0
954,1,6,0,0,2,0,4,4,0,0,1,1,0,0,1,3,3,1,3,15,1,1,4,67,1,18,2,1,0,5,9,7,2,0,36,0.0
955,1,2,2,0,1,0,3,6,0,0,3,0,0,1,1,0,5,1,2,2,1,1,4,89,0,10,2,0,0,5,7,1,3,0,3,0.0
956,0,1,0,1,1,1,1,1,0,0,1,0,0,0,1,2,2,1,1,3,1,0,1,67,1,10,2,1,0,5,2,6,2,2,31,0.0
957,0,3,3,1,2,3,1,1,0,0,0,1,0,0,1,2,4,1,3,2,1,0,1,89,1,10,2,2,1,13,2,7,2,2,31,0.0
958,1,4,1,0,2,0,2,2,1,0,0,1,0,0,1,0,4,0,1,7,1,1,3,67,1,18,2,1,0,3,5,7,2,0,2,1.0
959,0,8,2,1,2,0,1,5,1,0,0,1,3,0,0,3,4,1,2,11,1,1,0,89,1,18,2,1,1,14,2,7,2,2,41,0.0
960,1,6,2,1,4,0,0,7,0,0,2,0,0,0,1,2,4,0,3,3,1,1,2,67,3,22,3,1,1,9,1,19,2,2,31,1.0
961,1,8,2,0,2,1,1,2,1,0,3,1,0,0,0,0,2,0,1,6,1,0,3,89,1,10,2,2,0,2,3,7,2,0,2,1.0
962,0,1,0,1,2,3,2,3,0,0,0,1,0,0,1,0,4,1,2,0,1,1,4,67,0,18,3,0,0,5,4,2,2,2,8,0.0
963,1,6,1,1,2,1,0,0,1,0,1,1,0,1,0,0,4,0,1,16,0,1,1,89,1,7,2,2,0,2,1,7,1,2,7,0.0
964,0,2,2,1,4,1,2,1,0,0,1,1,0,1,0,0,4,1,4,2,0,0,2,89,2,14,2,1,0,4,4,14,1,2,7,0.0
965,0,4,3,1,3,1,2,3,1,1,2,1,0,0,0,0,5,0,3,9,1,0,1,89,3,7,2,2,0,2,4,18,2,3,12,1.0
966,1,5,1,1,3,3,2,2,1,0,2,1,0,0,1,3,5,0,2,5,1,0,3,40,2,10,3,1,0,3,5,13,2,2,41,0.0
967,0,2,0,1,1,1,1,4,0,0,1,1,0,0,1,0,2,0,1,6,1,0,2,67,1,10,3,1,0,1,2,6,2,2,8,1.0
968,1,0,3,0,3,1,1,1,1,0,0,0,0,1,1,0,2,0,3,5,0,0,2,67,0,22,3,2,0,3,3,3,1,0,1,1.0
969,0,8,4,1,4,0,0,2,0,0,2,0,0,0,1,1,4,0,3,5,1,1,4,67,2,14,3,1,1,9,0,14,2,2,20,1.0
970,0,8,2,1,1,1,3,1,1,0,1,0,0,0,0,0,2,0,2,3,1,0,0,89,1,14,3,2,1,10,6,6,2,2,8,1.0
971,0,0,1,0,2,1,1,1,1,0,1,1,0,0,0,0,2,0,1,3,1,0,4,67,2,14,3,1,0,2,2,12,2,0,2,1.0
972,1,6,1,0,2,3,2,1,0,0,2,0,0,1,1,0,4,0,3,4,0,0,0,89,2,18,2,2,1,9,5,12,1,0,1,0.0
973,1,1,3,1,2,1,2,2,1,0,1,0,4,0,0,3,5,0,3,2,1,0,2,89,0,22,2,1,1,10,5,2,2,2,41,1.0
974,0,3,0,0,1,1,0,3,1,0,1,1,0,1,0,0,5,0,1,6,1,0,1,89,0,18,2,1,0,2,0,1,3,0,3,0.0
975,0,4,1,1,2,2,1,5,0,0,1,0,0,0,0,3,2,1,2,16,1,1,2,89,2,10,2,1,0,4,2,12,2,2,41,1.0
976,0,2,0,1,2,3,1,1,0,0,0,1,0,1,1,2,4,1,2,0,0,0,1,67,1,18,2,0,0,5,2,7,1,2,30,0.0
977,0,0,2,0,3,3,4,5,0,0,0,0,0,0,1,0,2,0,2,0,1,1,2,40,1,22,3,1,0,1,8,8,2,0,2,1.0
978,0,8,2,1,3,0,4,2,1,0,2,0,0,0,0,1,5,0,2,18,1,0,1,67,3,14,1,1,1,10,8,18,2,2,20,1.0
979,0,3,2,1,2,0,0,2,1,0,1,1,0,0,1,1,3,1,2,0,1,0,1,40,2,10,2,1,1,15,0,12,2,2,20,0.0
980,1,5,1,1,2,1,0,1,1,0,2,1,0,1,1,2,3,0,3,6,1,0,0,67,1,14,2,2,1,11,1,7,3,2,50,0.0
981,0,4,2,1,2,1,2,0,0,0,3,1,0,0,0,0,4,1,1,17,1,1,3,89,1,10,3,2,1,12,4,7,2,2,8,1.0
982,1,3,1,0,1,3,2,2,0,0,1,1,0,0,1,3,5,1,2,11,1,0,4,40,0,22,2,1,1,13,5,1,2,0,36,0.0
983,0,1,2,1,2,1,2,1,0,1,0,1,0,0,1,0,2,1,3,2,1,0,0,89,0,18,3,2,1,13,4,2,2,3,12,0.0
984,0,7,2,0,3,0,2,3,0,0,1,0,0,0,0,0,5,0,2,23,1,1,4,67,1,10,3,0,0,0,4,8,2,0,2,0.0
985,1,2,1,0,2,1,0,7,1,0,0,0,0,1,0,2,4,1,2,2,0,0,2,67,2,18,1,0,1,14,1,12,1,0,25,1.0
986,0,0,3,1,3,3,0,0,0,0,0,0,0,0,0,3,1,1,2,3,1,0,2,67,1,22,1,1,1,12,0,8,2,2,41,0.0
987,1,2,1,0,3,3,2,3,0,0,3,1,0,0,0,3,4,1,2,7,1,1,0,67,2,14,2,1,0,4,5,13,2,0,36,0.0
988,0,5,0,1,2,2,1,5,1,1,0,0,0,0,0,0,4,1,3,2,1,1,0,89,0,7,2,0,1,14,2,2,2,3,12,1.0
989,0,1,2,0,3,3,2,1,1,0,3,0,0,0,1,3,2,0,3,3,1,0,3,67,2,10,2,1,0,3,4,13,2,0,36,1.0
990,0,8,2,1,3,0,2,2,0,0,2,1,0,0,0,0,4,0,3,5,1,1,3,89,1,10,1,1,1,8,4,8,2,2,8,1.0
991,1,8,4,0,4,0,1,2,0,0,2,0,0,1,0,0,4,0,3,5,0,1,4,89,3,10,2,0,1,8,3,19,1,0,1,1.0
992,1,3,1,0,2,1,1,3,1,0,1,1,0,1,1,0,4,1,3,19,0,1,2,89,1,10,3,0,0,7,3,7,1,0,1,1.0
993,1,4,2,1,3,1,1,1,0,1,0,0,0,0,0,0,1,1,4,3,1,0,2,89,0,7,2,0,1,12,3,3,2,3,12,1.0
994,1,2,3,0,0,1,2,1,0,0,2,0,0,1,1,2,2,0,1,22,0,1,2,89,0,7,2,0,1,9,5,0,1,0,25,1.0
995,1,4,0,1,1,1,2,2,1,0,0,0,0,1,0,3,4,0,3,2,1,0,4,89,2,14,1,1,1,10,5,11,3,2,42,1.0
996,0,7,2,0,2,1,0,7,1,0,2,1,0,1,0,0,5,1,1,13,0,0,1,89,1,18,2,2,0,6,0,7,1,0,1,0.0
997,0,4,0,1,4,1,3,1,1,0,0,1,0,0,1,3,2,1,0,3,1,0,3,89,1,7,2,0,0,7,6,9,2,2,41,0.0
998,0,2,2,0,2,1,2,2,0,0,0,0,0,0,0,0,4,1,1,13,1,0,1,67,1,18,2,2,1,12,4,7,2,0,2,1.0
999,1,4,4,0,2,0,4,6,0,0,0,0,0,0,1,1,4,0,2,13,1,1,0,89,1,7,2,2,1,9,9,7,2,0,46,1.0
1000,0,3,1,0,2,0,1,7,0,0,0,1,0,1,0,0,4,1,2,0,0,1,2,89,2,18,2,0,1,12,2,12,1,0,1,1.0
1001,0,2,3,1,3,1,2,3,1,0,1,1,0,0,0,0,4,1,1,13,1,0,1,40,2,22,1,2,1,14,4,13,2,2,8,0.0
1002,1,8,4,1,4,0,4,2,1,0,2,0,0,0,1,1,4,0,3,5,1,1,0,89,2,10,1,2,0,3,9,14,2,2,20,1.0
1003,1,7,0,1,4,0,2,3,1,0,0,0,0,0,0,0,5,0,3,7,1,1,0,67,3,7,2,0,1,10,5,19,2,2,8,0.0
1004,1,1,2,0,3,1,2,2,1,0,3,0,0,1,1,3,0,1,2,10,0,1,2,89,3,14,2,1,1,15,5,18,1,0,35,1.0
1005,0,4,0,1,4,1,3,1,0,1,0,1,0,0,0,0,2,1,0,3,1,0,4,89,1,7,3,0,1,12,6,9,2,3,12,1.0
1006,0,0,1,0,2,1,2,2,0,0,1,0,0,1,0,0,1,0,3,0,1,1,4,89,0,18,1,1,0,0,4,2,3,0,3,0.0
1007,0,5,3,1,2,0,0,3,1,0,1,1,0,1,0,0,5,1,3,5,0,1,3,89,0,22,3,2,1,14,0,2,1,2,7,0.0
1008,1,3,0,1,3,2,3,2,0,0,2,1,0,0,1,0,5,1,3,0,0,1,2,89,2,7,2,0,0,5,7,13,0,2,6,1.0
1009,1,0,2,0,3,3,1,1,1,0,1,0,0,1,0,1,2,1,3,3,0,0,3,89,0,7,1,0,0,6,3,3,1,0,15,1.0
1010,0,8,1,1,2,1,3,5,0,0,0,1,0,1,1,3,4,0,1,3,0,1,0,40,2,14,2,1,1,9,6,12,1,2,40,0.0
1011,1,1,4,1,2,0,0,4,1,0,1,1,0,0,0,2,5,1,2,1,1,0,4,67,2,14,3,0,1,14,1,12,2,2,31,1.0
1012,1,6,3,0,1,0,2,4,1,0,0,0,0,0,0,3,5,0,4,1,1,0,4,89,2,7,2,1,0,2,5,11,2,0,36,1.0
1013,1,1,3,1,3,3,2,2,1,0,2,0,0,0,1,2,2,0,2,16,1,1,0,67,1,18,1,1,1,11,5,8,2,2,31,0.0
1014,1,3,1,1,4,1,4,2,1,1,0,1,0,0,0,0,2,1,2,8,1,0,4,89,4,14,3,0,0,6,9,24,2,3,12,1.0
1015,1,2,1,0,2,1,1,7,1,0,0,0,0,0,0,0,4,1,3,11,1,1,4,89,1,18,2,2,1,14,3,7,2,0,2,1.0
1016,1,3,4,0,2,0,2,2,1,0,1,0,0,0,1,0,3,0,3,24,1,0,0,89,1,18,1,2,0,3,5,7,2,0,2,1.0
1017,1,7,1,0,2,3,2,4,0,0,1,1,0,0,0,2,5,1,3,16,1,0,4,89,2,18,1,1,1,12,5,12,2,0,26,0.0
1018,0,2,0,0,2,0,2,1,0,0,0,0,0,0,1,1,2,0,2,13,1,0,4,89,1,18,2,2,0,1,4,7,2,0,46,0.0
1019,1,2,1,1,2,3,3,4,0,0,2,1,0,0,1,3,2,1,2,24,1,1,4,67,1,14,2,1,1,13,7,7,2,2,41,0.0
1020,1,4,3,0,1,1,4,4,1,0,0,1,0,1,0,0,3,1,2,5,1,1,1,40,1,22,2,0,1,14,9,6,3,0,3,0.0
1021,1,5,4,1,4,3,2,2,1,0,2,0,0,0,0,1,4,1,4,7,1,0,1,40,4,10,2,1,1,14,5,24,2,2,20,0.0
1022,0,3,1,1,1,1,3,7,1,0,1,1,0,0,0,0,1,0,1,7,1,0,3,67,2,18,2,2,0,2,6,11,2,2,8,0.0
1023,1,1,2,1,2,2,2,4,1,0,0,1,0,0,1,0,2,1,2,0,1,1,3,40,3,7,3,0,1,15,5,17,2,2,8,1.0
1024,0,4,0,1,3,0,4,6,1,0,0,1,0,0,0,0,5,0,1,17,1,1,4,89,2,14,2,1,1,10,8,13,2,2,8,0.0
1025,1,3,2,0,1,1,0,1,0,0,0,0,0,0,1,0,3,1,4,3,1,0,0,89,0,7,2,1,1,13,1,1,2,0,2,0.0
1026,0,8,4,1,0,3,4,3,0,0,1,1,0,0,1,3,2,1,2,5,1,1,3,89,2,18,2,2,0,5,8,10,2,2,41,1.0
1027,1,6,0,0,3,1,1,2,0,0,0,0,0,0,1,0,4,0,2,2,1,0,1,67,2,22,3,0,1,9,3,13,2,0,2,1.0
1028,0,4,1,0,2,0,1,7,1,0,0,1,0,1,0,0,4,0,1,22,0,0,1,89,1,7,2,0,1,10,2,7,1,0,1,1.0
1029,1,1,2,1,3,3,3,1,0,0,2,1,0,0,0,2,2,0,3,3,1,1,4,67,1,18,2,2,1,8,7,8,2,2,31,1.0
1030,0,3,4,0,4,3,4,0,1,0,0,0,0,0,1,0,2,1,4,13,1,1,3,89,1,10,2,2,0,7,8,9,2,0,2,0.0
1031,1,1,2,0,2,3,2,3,0,0,2,1,0,1,1,0,0,0,3,5,0,0,4,89,1,14,2,2,0,1,5,7,1,0,1,1.0
1032,1,7,2,1,2,3,3,1,0,0,2,1,0,0,0,0,4,1,2,7,1,0,4,67,2,22,2,2,1,12,7,12,2,2,8,1.0
1033,0,1,2,1,2,3,2,2,1,0,0,1,0,0,0,3,1,0,1,4,1,0,3,89,0,14,2,1,1,10,4,2,2,2,41,1.0
1034,0,2,1,1,2,3,0,2,0,0,0,1,0,0,0,1,2,1,2,3,1,0,1,89,1,18,2,1,1,12,0,7,2,2,20,0.0
1035,0,2,2,1,4,0,0,3,0,0,0,0,0,0,1,2,3,0,2,5,1,1,1,89,1,10,2,2,0,1,0,9,2,2,31,1.0
1036,0,6,3,0,2,0,4,5,0,0,0,1,0,0,1,1,4,0,4,0,1,1,1,89,2,22,2,1,0,1,8,12,2,0,46,0.0
1037,1,2,0,1,0,1,1,0,1,0,0,0,0,0,1,0,2,1,1,3,1,0,4,67,0,10,2,1,0,7,3,0,2,2,8,0.0
1038,0,8,3,1,4,0,2,5,1,0,1,0,0,0,1,0,5,0,4,7,1,0,1,40,2,22,2,0,1,11,4,14,2,2,8,0.0
1039,1,2,1,0,2,3,0,2,0,1,3,0,0,0,1,0,4,0,3,2,1,0,2,67,1,10,2,2,1,9,1,7,2,1,5,1.0
1040,0,5,3,0,2,1,3,1,1,0,1,1,0,1,0,0,4,0,3,5,1,1,4,89,0,22,2,2,0,2,6,2,3,0,3,1.0
1041,0,8,2,1,3,0,2,3,0,0,1,1,0,0,1,1,5,0,3,5,1,1,0,67,3,7,2,0,1,9,4,18,2,2,20,1.0
1042,1,3,1,1,2,0,0,6,1,0,1,1,0,1,0,1,1,1,2,16,0,1,0,40,0,7,2,0,1,14,1,2,1,2,19,0.0
1043,0,4,1,1,2,3,2,2,1,0,2,0,0,0,0,2,2,1,3,7,1,0,2,40,1,7,2,1,1,14,4,7,2,2,31,1.0
1044,1,1,1,1,2,2,2,7,0,0,0,0,0,0,1,3,2,0,2,22,1,1,2,89,1,22,2,1,0,1,5,7,2,2,41,1.0
1045,1,2,0,1,1,1,1,1,0,0,0,0,0,0,1,0,4,0,4,21,1,0,4,40,1,10,2,1,1,9,3,6,2,2,8,1.0
1046,1,1,2,0,2,3,2,2,1,0,1,1,0,0,1,2,3,1,2,6,1,0,1,40,2,10,2,1,0,7,5,12,2,0,26,0.0
1047,1,4,0,1,2,0,4,7,1,0,1,1,0,0,1,0,2,0,3,13,1,1,0,89,1,10,2,0,1,11,9,7,2,2,8,1.0
1048,0,0,2,0,3,3,1,7,1,0,3,1,0,0,1,0,2,1,3,7,1,0,0,89,1,18,3,0,0,7,2,8,2,0,2,1.0
1049,0,0,2,1,2,3,1,1,0,0,0,1,0,0,0,3,2,1,3,23,1,1,0,40,3,22,2,1,0,4,2,17,2,2,41,0.0
1050,1,6,3,0,3,0,2,7,1,0,2,1,0,0,1,3,3,0,3,6,1,1,3,89,3,18,2,1,1,11,5,18,2,0,36,1.0
1051,0,5,0,1,2,1,1,1,1,0,0,0,0,0,0,0,2,1,3,3,1,1,1,40,2,22,2,1,1,14,2,12,2,2,8,1.0
1052,1,4,1,1,2,0,0,2,0,1,0,0,0,0,1,0,4,1,1,7,1,1,1,40,1,7,2,0,0,5,1,7,2,3,12,0.0
1053,1,4,3,1,2,1,1,4,0,0,1,1,0,0,0,3,5,1,1,12,1,0,3,89,1,10,2,1,0,4,3,7,2,2,41,1.0
1054,0,8,2,1,3,0,0,2,1,0,2,0,0,0,1,2,5,0,2,18,1,0,2,40,3,14,1,2,1,11,0,18,2,2,31,0.0
1055,0,1,2,1,3,3,0,1,1,1,3,1,0,0,1,3,2,0,3,3,1,0,4,40,2,7,2,0,1,11,0,13,2,3,44,1.0
1056,1,1,1,0,2,1,2,2,0,0,2,0,0,1,1,0,4,1,3,0,0,0,1,40,1,22,2,0,1,13,5,7,1,0,1,1.0
1057,1,1,4,0,2,1,0,5,0,0,0,1,0,0,0,2,4,1,3,4,1,1,2,89,3,10,2,1,1,12,1,17,2,0,26,0.0
1058,1,2,1,0,2,0,1,0,1,0,0,0,0,0,1,1,4,1,2,14,1,1,1,89,1,7,2,1,0,7,3,7,2,0,46,0.0
1059,0,8,4,1,4,0,0,5,0,1,0,1,0,0,0,2,2,1,4,13,1,1,1,40,3,22,1,2,0,4,0,19,2,3,32,0.0
1060,0,1,3,1,2,1,2,7,0,0,2,0,0,0,1,0,5,0,3,7,1,0,4,67,1,18,2,0,0,1,4,7,2,2,8,1.0
1061,0,2,2,1,2,0,4,2,0,0,1,0,0,0,1,0,4,0,2,5,1,1,3,40,2,18,2,1,0,1,8,12,2,2,8,0.0
1062,0,4,1,0,2,0,0,7,0,0,0,0,0,0,1,2,4,0,1,22,1,0,3,89,1,10,2,1,1,9,0,7,2,0,26,0.0
1063,1,0,3,0,4,1,1,0,0,0,2,0,0,1,1,0,2,1,2,3,0,0,3,89,3,22,1,0,0,5,3,19,1,0,1,1.0
1064,0,7,4,0,3,3,2,1,0,0,2,1,0,1,0,0,2,0,3,0,0,0,1,67,1,22,3,2,0,0,4,8,1,0,1,0.0
1065,1,4,3,0,2,2,0,3,1,0,2,0,0,0,0,2,2,0,4,2,1,0,4,67,3,10,2,1,0,2,1,17,2,0,26,1.0
1066,1,8,0,1,2,0,0,4,1,0,0,0,0,0,0,3,5,1,1,5,1,1,0,67,2,10,3,1,1,14,1,12,2,2,41,1.0
1067,1,7,3,1,1,0,1,2,0,0,2,1,0,0,1,1,3,1,2,6,1,1,2,40,2,10,2,1,0,5,3,11,2,2,20,0.0
1068,0,1,1,1,1,1,2,1,0,1,2,0,0,0,0,0,3,1,2,3,1,0,3,67,2,7,3,0,1,12,4,11,2,3,12,1.0
1069,1,0,1,0,2,3,1,0,1,0,0,1,0,1,0,0,4,1,2,0,1,0,3,89,1,10,2,1,1,14,3,7,3,0,3,0.0
1070,1,4,0,0,1,1,0,4,1,0,0,0,0,0,1,3,2,1,2,14,1,0,2,89,1,18,3,1,0,7,1,6,2,0,36,1.0
1071,1,1,1,1,2,0,1,6,0,1,0,0,0,0,1,0,2,1,3,0,1,0,4,89,1,14,3,0,1,13,3,7,2,3,12,0.0
1072,1,5,3,0,1,0,2,5,1,0,0,0,0,1,1,1,4,1,4,2,0,1,1,89,0,18,3,1,1,15,5,1,1,0,15,0.0
1073,0,1,0,0,1,1,2,2,1,0,0,0,0,0,1,0,4,0,2,1,1,0,2,67,1,10,2,1,0,3,4,6,2,0,2,0.0
1074,1,8,0,1,3,3,1,7,1,0,4,0,0,0,0,1,4,1,2,22,1,1,1,89,2,22,2,1,0,6,3,13,2,2,20,1.0
1075,1,0,3,0,1,3,1,2,0,0,2,0,0,0,1,1,3,0,3,11,1,0,2,89,1,14,3,0,1,9,3,6,2,0,46,1.0
1076,0,3,0,1,2,1,2,1,1,0,1,0,0,0,0,0,4,1,1,9,1,0,3,67,0,18,2,0,1,14,4,2,2,2,8,0.0
1077,1,1,1,0,2,3,4,2,1,1,1,0,0,0,1,3,4,0,2,17,1,0,1,89,1,14,2,1,1,11,9,7,2,1,38,0.0
1078,0,8,1,0,3,0,2,2,0,0,1,1,0,0,0,0,2,1,4,14,1,0,1,67,1,14,2,0,1,12,4,8,2,0,2,0.0
1079,1,6,2,0,1,0,0,7,0,1,0,0,0,1,0,0,2,1,1,17,1,0,0,67,1,22,3,0,1,12,1,6,3,1,46,0.0
1080,1,8,3,1,3,1,0,1,1,0,2,0,0,1,0,0,4,0,2,3,0,0,4,89,2,22,3,2,0,2,1,13,1,2,7,0.0
1081,1,5,3,1,3,0,1,5,0,0,2,0,0,0,1,1,4,0,3,7,1,1,4,40,2,10,2,1,1,9,3,13,2,2,20,0.0
1082,1,7,3,1,3,0,0,7,0,0,0,0,0,0,0,3,5,1,2,13,1,1,4,40,1,18,2,1,1,12,1,8,2,2,41,0.0
1083,0,2,0,1,2,0,2,5,0,0,1,0,0,0,0,0,2,1,4,19,1,0,2,89,2,10,2,1,0,4,4,12,2,2,8,0.0
1084,1,4,2,0,3,0,2,6,0,0,0,1,0,0,0,3,5,1,1,3,1,1,4,40,2,7,2,1,1,12,5,13,2,0,36,0.0
1085,1,2,2,1,1,1,0,5,0,0,1,1,0,0,0,3,2,0,2,3,1,1,4,67,0,18,2,1,0,0,1,1,2,2,41,1.0
1086,1,2,3,1,1,3,0,4,1,0,0,0,0,0,1,3,2,0,3,14,1,0,0,67,1,10,3,0,1,11,1,6,2,2,41,1.0
1087,1,4,3,1,3,0,4,1,1,0,1,1,0,0,1,0,2,1,3,0,1,0,0,67,3,18,2,2,0,7,9,18,2,2,8,1.0
1088,0,2,0,0,2,1,4,6,1,0,2,1,0,1,1,0,2,0,3,21,0,0,3,89,2,7,2,2,1,11,8,12,1,0,1,1.0
1089,1,3,2,0,2,3,2,2,0,0,0,1,0,1,1,3,5,1,2,13,0,0,0,89,1,18,2,2,0,5,5,7,1,0,35,0.0
1090,1,8,0,1,3,3,2,7,0,0,4,0,0,0,1,3,4,0,2,22,1,1,1,89,2,14,2,1,1,9,5,13,2,2,41,0.0
1091,0,0,2,0,3,1,0,2,0,0,3,1,0,0,1,3,4,1,4,0,1,0,1,67,2,14,2,1,0,5,0,13,2,0,36,1.0
1092,0,1,0,1,3,1,3,7,0,0,0,1,0,0,1,0,5,0,3,13,1,0,1,89,1,7,2,0,0,1,6,8,2,2,8,0.0
1093,1,2,2,0,3,0,2,3,0,0,0,0,0,0,0,3,5,0,3,13,1,1,1,67,1,14,2,1,1,8,5,8,2,0,36,0.0
1094,1,1,3,1,3,1,0,1,0,1,0,0,0,0,0,0,2,0,3,2,1,0,3,67,0,7,2,0,1,8,1,3,2,3,12,1.0
1095,1,1,0,1,2,0,2,5,0,1,0,1,0,0,1,0,3,1,3,7,1,0,1,89,1,14,2,1,1,13,5,7,2,3,12,0.0
1096,1,4,0,1,3,1,0,1,0,0,1,0,0,0,0,1,3,0,2,0,1,1,3,40,2,14,3,1,1,8,1,13,2,2,20,0.0
1097,1,5,1,1,1,0,2,3,1,0,0,1,0,0,0,3,5,1,2,0,1,1,4,89,1,14,2,1,1,14,5,6,2,2,41,1.0
1098,0,5,0,1,2,0,2,5,1,0,0,1,0,0,0,1,2,1,2,1,1,0,3,67,1,10,2,0,0,6,4,7,2,2,20,1.0
1099,1,3,2,0,2,0,0,3,1,0,0,1,0,0,1,1,3,0,2,0,1,1,3,67,2,7,2,0,0,3,1,12,2,0,46,0.0
1100,1,4,0,1,2,1,0,4,1,0,0,1,0,0,0,3,4,1,2,13,1,0,4,67,2,18,1,0,1,14,1,12,2,2,41,1.0
1101,0,7,2,0,3,1,2,1,1,0,2,0,0,0,1,0,4,0,2,5,1,0,3,67,2,10,2,1,1,11,4,13,2,0,2,0.0
1102,0,4,1,0,2,2,2,5,1,0,1,1,0,0,1,3,2,0,2,16,1,1,4,89,2,10,2,1,0,3,4,12,2,0,36,1.0
1103,0,4,2,0,1,1,0,2,1,0,0,1,0,0,1,0,1,0,2,8,1,0,0,40,1,10,3,0,0,3,0,6,2,0,2,1.0
1104,1,1,2,1,2,1,2,7,1,0,2,0,0,0,1,3,2,1,1,6,1,0,1,89,1,14,2,1,1,15,5,7,2,2,41,1.0
1105,0,3,2,1,2,0,3,3,1,0,0,1,0,0,1,1,3,1,2,0,1,1,4,40,2,7,1,2,0,7,6,12,2,2,20,0.0
1106,0,4,2,0,3,1,1,1,0,0,4,0,0,1,0,1,4,1,4,1,0,0,1,89,1,7,2,0,1,12,2,8,1,0,15,1.0
1107,0,6,3,1,3,1,1,3,1,0,4,1,0,1,1,0,5,0,3,11,0,0,1,89,3,14,2,2,0,3,2,18,1,2,7,0.0
1108,1,8,2,0,3,0,2,7,0,0,2,0,0,0,0,1,5,0,3,2,1,1,0,89,1,14,2,2,1,8,5,8,2,0,46,1.0
1109,1,6,3,1,1,1,4,1,0,1,2,0,0,0,1,0,2,1,1,0,1,0,4,40,0,7,2,1,1,13,9,1,2,3,12,1.0
1110,1,2,4,1,3,2,1,4,0,0,0,1,0,1,0,0,2,1,3,6,0,1,2,40,1,7,1,0,1,12,3,8,1,2,7,1.0
1111,0,6,0,1,2,1,2,2,0,0,0,0,0,1,1,0,4,1,2,2,0,0,2,89,2,7,2,0,1,13,4,12,1,2,7,0.0
1112,1,3,2,1,2,0,1,4,1,0,1,0,0,1,1,0,4,0,2,13,0,1,0,67,2,18,2,2,0,3,3,12,1,2,7,1.0
1113,0,5,3,1,3,1,3,1,0,0,3,1,0,1,1,3,2,0,4,7,1,1,0,89,1,10,3,1,1,9,6,8,3,2,42,1.0
1114,0,3,2,0,2,1,3,2,0,0,3,0,0,1,1,3,4,1,2,13,0,0,4,40,1,22,3,2,0,5,6,7,1,0,35,0.0
1115,1,8,0,1,2,1,1,2,1,0,2,1,0,0,1,0,2,0,3,0,1,0,0,40,1,10,1,2,1,11,3,7,2,2,8,1.0
1116,0,6,1,1,2,0,2,5,0,1,0,1,0,0,1,2,3,1,3,0,1,1,0,67,1,7,2,0,1,13,4,7,2,3,32,1.0
1117,0,3,1,0,1,0,4,2,1,0,1,0,0,0,1,3,4,1,2,10,1,0,4,89,1,14,1,1,0,7,8,6,2,0,36,0.0
1118,0,4,2,1,3,1,2,1,0,0,0,0,0,0,0,3,4,1,2,1,1,1,0,89,1,10,2,1,1,12,4,8,2,2,41,0.0
1119,0,8,0,1,2,1,4,1,1,0,1,1,0,0,0,0,2,1,4,2,1,0,4,67,1,22,1,0,0,6,8,7,2,2,8,0.0
1120,1,0,0,1,1,4,4,7,1,0,0,0,0,0,1,3,2,0,2,10,1,0,2,89,1,18,3,1,1,11,9,6,2,2,41,1.0
1121,0,8,2,1,3,0,1,7,1,0,2,0,0,1,1,0,5,0,4,15,0,1,4,67,1,18,2,2,1,11,2,8,1,2,7,1.0
1122,0,2,0,1,2,0,0,5,0,0,1,1,0,1,0,0,2,0,4,19,0,0,0,67,2,7,3,0,0,0,0,12,1,2,7,1.0
1123,0,6,0,1,4,3,2,4,0,0,0,0,0,1,0,0,3,1,4,0,0,0,4,40,2,22,2,2,0,4,4,14,1,2,7,1.0
1124,1,0,1,1,2,3,0,2,0,0,0,1,0,0,0,2,2,1,2,1,1,0,1,67,1,18,2,1,0,4,1,7,2,2,31,1.0
1125,0,3,1,1,2,0,1,6,1,0,1,1,0,1,0,0,1,1,2,16,0,1,0,67,0,7,3,0,1,14,2,2,1,2,7,0.0
1126,0,1,1,1,1,2,1,4,0,0,0,1,0,1,0,3,4,1,2,2,0,1,3,89,0,7,3,1,1,12,2,1,1,2,40,1.0
1127,0,3,1,1,1,0,1,3,1,0,0,0,0,0,0,3,2,0,3,5,1,1,0,67,1,18,2,1,0,2,2,6,2,2,41,0.0
1128,0,3,3,1,2,1,4,3,1,0,2,0,0,0,0,3,3,1,2,10,1,1,3,89,1,14,2,1,0,6,8,7,2,2,41,1.0
