,binary__offer_expiration,ordinal__income_range,ordinal__no_visited_cold_drinks,binary__travelled_more_than_15mins_for_offer,ordinal__restaur_spend_less_than20,nominal__marital_status,nominal__restaurant_type,ordinal__age,binary__prefer_western_over_chinese,binary__travelled_more_than_25mins_for_offer,ordinal__no_visited_bars,binary__gender,nominal__car,binary__restuarant_same_direction_house,binary__cooks_regularly,nominal__customer_type,ordinal__qualif,binary__is_foodie,ordinal__no_take_aways,nominal__job_industry,binary__restuarant_opposite_direction_house,binary__has_children,ordinal__type_of_rest_rating,interval__temperature,ordinal__restaur_spend_greater_than20,interval__travel_time,interval__season,ordinal__dest_distance,binary__prefer_home_food,target,nominal__pref_profile,nominal__biz_type,nominal__spend_id,nominal__direction,nominal__extra_travel,nominal__circumstance
688,1,0,1,0,2,3,0,1,0,0,2,0,0,0,1,0,2,0,3,1,0,0,1,40,4,7,1,0,1,1,9,1,22,0,0,0
689,0,5,1,1,1,0,2,5,0,0,1,1,0,0,1,0,3,0,1,0,1,1,1,67,1,22,1,1,0,0,1,4,6,2,2,8
690,0,3,2,0,4,1,2,2,0,0,2,1,0,0,0,0,4,0,4,15,1,0,0,40,4,10,2,1,0,1,0,4,24,2,0,2
691,1,1,0,1,2,1,1,3,0,0,3,0,0,0,0,3,2,1,4,6,1,0,1,40,0,10,1,0,1,1,12,3,2,2,2,41
692,0,0,1,1,2,0,1,1,1,0,1,0,0,0,1,0,4,0,3,2,1,0,4,67,2,7,2,1,0,0,3,2,12,2,2,8
693,0,5,1,1,1,0,3,5,1,0,1,1,0,0,1,0,2,1,3,5,0,1,4,40,1,7,3,1,0,1,7,6,6,0,2,6
694,0,4,0,1,4,0,2,3,0,1,0,1,0,0,0,0,2,0,2,0,1,0,2,89,2,14,2,0,1,0,8,4,14,2,3,12
695,1,1,1,0,3,4,0,7,1,0,0,0,0,0,0,1,1,1,2,17,1,1,1,67,1,14,2,2,0,1,6,1,8,2,0,46
696,0,4,0,1,1,0,2,3,1,0,0,1,0,0,0,3,4,0,0,7,1,1,2,67,0,14,3,1,0,0,2,4,1,2,2,41
697,1,6,0,0,3,1,1,2,1,0,0,0,0,0,0,2,4,0,2,2,1,0,4,89,2,10,2,0,0,1,2,3,13,2,0,26
698,1,7,2,0,3,1,2,1,1,0,2,1,0,0,1,3,4,1,2,5,1,0,0,89,2,10,2,1,1,1,15,5,13,2,0,36
699,1,4,2,1,2,0,4,4,0,0,1,0,0,0,1,1,2,0,3,7,1,1,4,67,2,18,2,0,1,1,9,9,12,2,2,20
700,0,6,2,1,3,0,4,3,0,1,2,0,0,0,0,2,4,1,3,2,1,0,4,40,3,18,2,2,1,1,12,8,18,2,3,32
701,0,2,2,1,2,0,4,2,1,0,1,0,0,0,0,3,4,1,2,5,1,1,1,89,2,18,1,1,1,1,14,8,12,2,2,41
702,1,1,2,0,1,1,1,2,0,1,0,1,0,0,1,3,2,0,3,12,1,0,2,67,2,14,2,2,0,1,1,3,11,2,1,38
703,0,8,2,1,2,1,2,2,1,0,3,0,0,1,1,0,4,1,1,4,0,0,0,40,1,14,2,2,1,0,15,4,7,1,2,7
704,1,3,0,1,1,1,0,0,1,1,0,0,0,0,0,0,2,1,0,3,1,0,1,67,1,7,3,0,0,1,6,1,6,2,3,12
705,0,8,2,1,2,0,2,5,1,1,0,1,0,0,1,3,4,0,2,23,1,1,4,67,2,10,2,1,1,0,11,4,12,2,3,44
706,0,1,0,1,2,4,0,7,1,0,0,0,0,0,1,0,1,1,3,17,1,1,1,40,1,22,2,1,1,0,15,0,7,2,2,8
707,1,8,1,0,3,1,1,1,1,0,3,0,0,1,0,0,4,0,2,0,0,0,4,40,2,18,2,2,0,1,2,3,13,1,0,1
708,1,2,0,1,2,1,2,2,0,0,0,1,0,0,1,1,4,0,3,16,1,1,2,67,1,7,3,2,0,1,1,5,7,2,2,20
709,1,8,0,1,2,3,4,7,0,0,2,0,0,0,1,0,4,1,2,22,1,1,0,89,1,22,2,1,1,1,13,9,7,2,2,8
710,1,3,0,1,2,1,4,3,1,0,2,1,0,0,0,1,3,0,3,10,1,1,0,89,1,7,2,1,0,1,2,9,7,2,2,20
711,0,1,3,1,3,3,4,2,0,0,2,0,0,0,1,2,2,0,2,16,1,1,2,67,1,10,2,1,0,1,1,8,8,2,2,31
712,0,6,1,1,2,0,4,5,0,0,0,0,0,1,1,1,3,0,3,1,0,0,2,40,2,18,2,2,0,1,1,8,12,1,2,19
713,1,2,1,0,2,1,4,1,0,0,3,1,0,0,0,0,2,0,4,7,1,0,4,67,2,22,2,0,1,0,8,9,12,2,0,2
714,0,2,0,0,2,0,0,5,0,0,0,1,0,0,1,3,5,1,2,13,1,1,3,89,2,22,2,1,0,1,5,0,12,2,0,36
715,0,0,0,0,3,1,0,1,1,0,0,1,0,1,0,3,2,0,3,3,0,0,0,67,2,18,2,1,0,1,2,0,13,1,0,35
716,1,3,4,1,4,1,3,2,0,0,4,0,0,0,0,1,1,0,4,0,1,0,0,89,4,10,2,1,1,1,8,7,24,2,2,20
717,1,3,2,1,2,0,2,2,0,1,1,1,0,0,0,0,3,1,2,0,1,0,4,40,2,14,2,0,1,0,12,5,12,2,3,12
718,1,4,2,0,1,1,0,3,0,0,3,0,0,0,0,2,2,1,2,5,1,0,2,89,1,22,1,1,1,1,12,1,6,2,0,26
719,1,1,1,0,4,2,2,3,0,0,1,1,0,1,0,3,2,0,3,23,0,1,2,67,4,18,2,0,1,1,8,5,24,1,0,35
720,1,2,1,0,1,0,4,1,1,0,2,1,0,0,0,0,2,0,3,2,1,0,1,67,1,22,2,1,0,0,2,9,6,2,0,2
721,1,4,1,1,2,0,1,7,0,0,0,0,0,0,0,3,4,1,1,22,1,0,2,67,1,7,2,1,1,1,12,3,7,2,2,41
722,0,7,0,1,4,0,2,2,0,0,1,1,0,0,0,3,4,0,3,10,1,1,2,67,1,10,2,1,1,0,8,4,9,2,2,41
723,0,4,0,1,1,0,4,7,1,0,0,0,0,0,1,1,4,0,1,13,1,1,2,89,1,10,2,1,1,0,11,8,6,2,2,20
724,1,8,3,1,2,0,2,6,1,0,1,1,0,0,1,0,4,0,3,4,1,1,0,67,1,10,2,1,1,0,11,5,7,2,2,8
725,1,1,1,1,4,0,2,5,0,1,1,0,0,0,0,0,4,1,3,2,1,0,1,67,1,22,1,2,0,0,4,5,9,2,3,12
726,0,8,0,0,2,1,3,2,1,0,2,0,0,1,1,0,2,1,3,0,0,0,4,89,1,18,1,2,0,1,7,6,7,1,0,1
727,1,3,2,0,2,0,1,3,1,0,2,0,0,1,1,0,2,1,3,6,0,1,1,89,1,7,2,1,0,1,7,3,7,1,0,1
728,1,4,1,1,3,1,2,3,1,0,0,0,0,1,0,1,2,0,3,2,1,0,4,40,1,7,1,0,0,1,2,5,8,3,2,21
729,1,4,4,0,2,3,1,2,0,0,3,1,0,0,0,0,2,0,2,5,1,1,4,67,2,7,3,0,0,0,0,3,12,2,0,2
730,0,3,3,1,3,1,2,7,0,0,2,0,0,0,1,0,5,1,3,1,1,0,0,89,2,7,2,0,0,0,5,4,13,2,2,8
731,0,4,0,0,3,0,2,1,1,0,0,0,0,0,1,0,4,1,3,7,1,0,2,89,2,18,2,2,1,0,15,4,13,2,0,2
732,1,8,1,1,2,0,3,7,0,0,0,1,0,0,0,0,4,1,3,13,1,1,4,40,2,18,2,2,0,1,4,7,12,2,2,8
733,1,1,0,0,1,1,0,2,1,0,0,1,0,1,0,3,4,0,2,1,0,0,1,67,1,18,2,1,1,0,10,1,6,1,0,35
734,0,2,2,1,3,0,3,7,1,0,2,1,0,0,1,0,2,1,3,8,1,0,3,67,2,7,2,0,1,0,15,6,13,2,2,8
735,1,0,1,1,3,1,1,1,0,0,3,1,0,0,1,2,4,0,1,0,1,0,1,89,4,22,2,1,1,1,9,3,23,2,2,31
736,0,3,0,1,3,0,0,3,0,0,0,0,0,0,0,0,2,1,3,14,1,1,4,67,2,18,1,0,1,0,12,0,13,2,2,8
737,1,3,4,1,3,0,4,2,1,0,2,0,0,0,1,3,4,0,3,5,1,1,3,40,1,10,1,1,0,0,3,9,8,2,2,41
738,0,3,1,1,3,1,2,4,1,0,2,1,0,0,0,0,2,0,2,0,1,1,3,67,1,7,3,2,0,1,2,4,8,2,2,8
739,1,2,0,1,1,0,1,2,1,0,1,0,0,0,0,0,4,1,2,2,1,1,3,40,1,22,2,1,0,1,6,3,6,2,2,8
740,1,6,1,0,3,1,3,1,1,0,4,1,0,0,1,0,4,0,4,1,1,0,0,67,0,7,3,0,0,1,3,7,3,2,0,2
741,0,2,0,1,0,3,1,1,1,0,0,1,0,1,0,0,2,0,2,6,0,0,2,89,0,18,3,2,1,1,10,2,0,1,2,7
742,0,7,3,1,1,0,3,3,1,0,0,1,0,0,1,0,3,1,3,3,1,1,1,89,1,10,2,2,0,1,7,6,6,2,2,8
743,1,3,0,0,2,1,2,3,1,0,0,0,0,0,0,0,3,1,3,0,0,1,2,40,1,7,1,0,1,1,14,5,7,0,0,0
744,1,0,2,0,2,1,3,1,1,0,3,0,0,0,0,2,2,1,3,3,1,0,0,89,1,22,2,1,1,1,14,7,7,2,0,26
745,1,2,2,1,2,1,2,2,0,0,0,1,0,0,0,1,3,1,3,15,1,1,2,89,1,14,3,1,0,1,4,5,7,2,2,20
746,0,7,0,1,2,0,1,2,0,0,0,1,0,1,0,1,5,0,2,13,1,1,1,67,1,10,2,0,0,1,0,2,7,3,2,21
747,1,3,4,1,2,0,1,7,1,0,0,1,0,0,1,2,1,0,3,2,1,1,1,40,1,22,1,2,0,0,3,3,7,2,2,31
748,1,3,2,1,2,2,1,7,0,1,1,1,0,0,1,0,5,0,3,2,1,1,3,67,1,22,2,2,0,0,1,3,7,2,3,12
749,1,8,1,1,3,1,4,4,1,0,0,0,0,0,0,0,4,1,4,0,1,0,0,67,2,10,2,1,0,1,6,9,13,2,2,8
750,1,4,2,1,3,0,0,3,1,0,2,0,0,0,1,2,2,0,4,2,1,0,3,40,2,18,3,1,0,0,3,1,13,2,2,31
751,1,1,1,1,3,3,4,1,1,1,0,0,0,0,1,2,2,1,4,3,1,0,2,67,2,22,2,2,1,0,15,9,13,2,3,32
752,0,8,0,1,1,0,4,4,1,0,1,0,0,0,1,3,4,0,2,5,1,1,2,67,1,10,2,2,0,0,3,8,6,2,2,41
753,1,8,1,0,2,0,3,2,0,0,0,1,0,0,1,1,3,1,3,1,1,0,4,89,1,18,3,1,1,0,13,7,7,2,0,46
754,1,4,1,0,1,3,4,7,0,0,0,0,0,0,1,0,2,0,2,0,0,0,3,40,1,7,2,1,0,0,1,9,6,0,0,0
755,1,3,1,1,2,3,1,7,1,0,0,0,0,0,1,0,4,0,2,0,1,0,3,67,0,22,1,1,0,0,3,3,2,2,2,8
756,0,8,0,0,2,1,2,4,1,0,1,1,0,0,1,1,4,1,2,0,0,0,2,89,1,10,1,1,0,1,7,4,7,0,0,14
757,1,8,1,1,3,0,3,3,0,0,1,0,0,0,0,0,2,0,4,5,1,0,0,67,1,14,3,2,1,0,8,7,8,2,2,8
758,0,2,0,1,2,0,1,4,0,1,0,0,0,0,1,1,3,1,1,1,1,1,2,89,0,18,2,1,0,1,5,2,2,2,3,22
759,0,4,1,0,2,3,3,7,1,0,1,0,0,0,0,2,1,0,3,17,1,0,0,40,1,14,1,1,1,0,10,6,7,2,0,26
760,1,4,4,0,3,0,2,4,0,0,3,1,0,1,1,0,5,0,3,1,0,1,4,67,2,18,2,2,1,1,9,5,13,1,0,1
761,1,1,2,0,3,1,1,0,1,0,0,0,0,0,0,0,4,1,1,5,1,0,1,67,1,14,1,1,0,0,6,3,8,2,0,2
762,0,7,1,0,2,0,2,2,0,0,0,0,1,1,0,3,4,0,2,5,0,1,0,89,1,7,3,0,1,1,8,4,7,1,0,35
763,1,4,1,1,4,3,4,2,0,0,0,1,0,1,1,3,5,0,2,11,1,1,1,89,1,7,1,1,1,0,9,9,9,3,2,42
764,0,4,1,1,2,0,1,2,1,0,0,1,0,0,0,2,2,1,2,0,1,1,4,89,0,14,2,1,0,1,6,2,2,2,2,31
765,0,4,2,0,2,0,2,2,1,0,1,0,0,0,1,0,4,1,2,9,1,0,2,89,1,10,2,2,0,1,7,4,7,2,0,2
766,1,6,3,0,3,0,2,3,0,0,2,0,0,1,0,2,5,1,1,4,0,0,3,89,1,18,2,2,1,1,12,5,8,1,0,25
767,1,6,0,0,3,0,4,2,1,0,0,1,0,1,1,0,2,1,2,6,0,0,4,89,1,18,3,2,1,1,15,9,8,1,0,1
768,1,8,1,1,3,0,2,3,0,0,1,1,0,0,0,0,2,0,4,5,1,0,1,40,1,14,2,2,1,1,8,5,8,2,2,8
769,0,8,3,0,3,1,2,1,1,0,2,0,0,1,1,0,4,1,2,3,0,0,2,67,2,7,3,0,0,0,7,4,13,1,0,1
770,0,3,3,1,3,0,1,2,1,0,2,1,0,0,0,1,2,0,2,0,1,1,3,89,1,10,2,1,0,0,2,2,8,2,2,20
771,1,1,3,1,1,2,0,4,1,0,1,1,0,1,1,0,3,1,2,5,0,0,1,89,1,7,2,0,1,0,15,1,6,1,2,7
772,1,8,1,0,3,0,4,3,0,0,1,1,0,0,1,2,2,1,4,1,1,0,1,67,1,14,2,1,1,1,13,9,8,2,0,26
773,0,4,0,1,3,3,1,1,1,0,1,0,0,0,0,0,2,0,2,2,1,0,1,40,2,18,1,1,0,1,2,2,13,2,2,8
774,1,2,0,0,2,3,3,0,1,0,0,1,0,1,0,0,2,1,3,6,0,0,3,40,2,22,2,2,1,0,14,7,12,1,0,1
775,1,8,3,1,3,1,3,3,0,1,0,1,0,0,1,0,4,1,4,0,1,0,0,67,1,7,3,0,1,0,13,7,8,2,3,12
776,0,1,1,1,2,1,0,2,0,0,2,0,0,0,1,3,4,0,3,0,1,0,2,67,1,7,2,2,1,1,9,0,7,2,2,41
777,1,3,1,0,2,1,4,6,0,0,0,0,0,0,0,0,2,0,2,2,1,1,4,67,2,7,2,0,1,1,8,9,12,2,0,2
778,0,2,3,1,3,1,4,2,1,0,0,0,0,0,1,3,2,0,3,5,1,0,0,67,0,18,2,1,1,1,11,8,3,2,2,41
779,0,1,4,0,3,1,2,1,1,0,0,1,0,1,1,0,1,0,4,3,1,1,2,67,0,18,2,0,0,1,3,4,3,3,0,3
780,1,0,3,0,2,1,3,1,1,0,1,0,0,0,1,1,5,0,1,3,1,0,3,89,1,10,3,1,0,1,3,7,7,2,0,46
781,1,5,3,0,3,0,2,7,0,0,0,1,0,1,1,0,5,0,2,17,0,1,2,89,1,14,3,2,0,1,1,5,8,1,0,1
782,1,2,0,0,4,1,2,1,0,0,3,1,0,1,0,0,4,0,3,7,0,0,0,67,2,18,1,0,1,1,8,5,14,1,0,1
783,1,2,2,0,2,1,4,3,1,0,0,1,0,0,1,0,1,1,2,8,1,0,4,67,2,14,2,1,0,1,7,9,12,2,0,2
784,0,1,1,1,3,1,4,4,1,1,0,1,0,0,1,0,2,0,4,15,1,1,3,67,1,7,3,0,1,0,11,8,8,2,3,12
785,0,2,0,0,0,3,2,2,0,0,2,0,0,1,0,2,4,1,3,7,0,0,0,67,2,18,2,1,1,0,12,4,10,1,0,25
786,0,2,2,1,2,2,4,6,0,0,0,1,0,1,0,0,4,0,2,6,0,1,4,40,2,22,3,0,0,1,0,8,12,1,2,7
787,1,6,0,1,3,3,2,2,1,0,0,0,0,0,1,0,4,0,2,2,1,0,1,89,2,18,1,2,0,0,3,5,13,2,2,8
788,1,0,0,0,2,1,0,2,0,0,2,1,0,0,0,3,2,1,2,0,0,0,4,67,2,10,2,1,0,1,4,1,12,0,0,34
789,1,6,2,0,3,1,2,3,0,0,0,1,0,1,1,1,4,1,2,4,0,0,2,40,3,18,1,2,1,1,13,5,18,1,0,15
790,1,4,0,0,3,0,1,4,0,0,1,1,0,1,1,0,4,1,3,5,0,0,0,89,0,22,2,2,1,1,13,3,3,1,0,1
791,1,0,0,0,3,1,2,0,0,0,0,1,0,0,0,0,1,1,3,0,1,0,4,89,0,10,2,2,1,0,12,5,3,2,0,2
792,1,8,0,1,2,0,1,6,1,0,1,0,0,0,0,1,4,0,2,12,1,1,0,67,2,18,2,2,1,1,10,3,12,2,2,20
793,1,0,2,0,1,3,1,5,0,0,0,1,0,0,0,0,1,1,2,9,1,0,0,89,1,18,2,1,0,1,4,3,6,2,0,2
794,0,1,2,1,3,0,0,3,0,0,2,1,0,0,1,1,2,0,3,2,1,1,1,67,0,18,2,2,0,0,1,0,3,2,2,20
795,0,1,1,1,2,4,0,7,1,1,1,1,0,0,0,0,3,0,3,8,1,1,2,40,1,14,1,0,1,0,10,0,7,2,3,12
796,1,1,2,1,3,1,0,7,0,1,2,0,0,0,0,3,4,0,2,18,1,0,2,89,3,22,2,1,1,1,8,1,18,2,3,44
797,0,5,0,1,2,2,1,5,0,0,0,0,0,0,0,3,4,0,3,2,1,1,1,67,0,10,2,2,1,0,8,2,2,2,2,41
798,1,1,1,1,4,2,2,3,1,0,1,1,0,0,1,3,2,1,3,23,1,1,4,89,4,22,2,0,1,1,15,5,24,2,2,41
799,1,2,2,0,2,1,3,3,0,0,0,0,0,0,1,0,1,1,2,8,1,0,1,67,1,10,2,2,0,1,5,7,7,2,0,2
800,1,0,2,0,2,3,2,1,1,0,0,1,0,0,0,1,2,1,3,23,1,1,3,89,3,14,2,1,1,1,14,5,17,2,0,46
801,0,3,4,1,4,1,0,2,0,0,4,0,0,0,0,3,1,1,4,0,1,0,0,67,4,22,3,2,1,0,12,0,24,2,2,41
802,0,2,3,1,2,1,2,1,0,0,3,0,0,0,1,3,4,1,3,3,1,1,3,89,0,10,2,0,0,1,5,4,2,2,2,41
803,1,7,2,0,1,0,2,6,1,0,1,0,0,0,0,3,5,1,2,7,1,1,2,89,2,18,2,1,0,1,6,5,11,2,0,36
804,1,2,2,1,0,3,3,2,0,0,1,0,0,0,0,0,5,1,2,9,1,0,4,89,0,14,2,0,0,1,4,7,0,2,2,8
805,1,4,4,1,2,3,0,2,0,1,3,1,0,0,0,0,2,1,2,5,1,1,1,40,2,7,1,0,0,1,4,1,12,2,3,12
806,1,1,3,0,2,1,0,6,0,0,0,0,0,0,1,2,2,1,2,3,1,0,0,89,0,14,2,1,0,0,5,1,2,2,0,26
807,1,2,0,1,1,1,3,4,0,0,1,0,0,0,1,3,2,0,1,6,1,0,2,67,1,14,2,0,1,1,9,7,6,2,2,41
808,0,4,0,1,3,0,2,1,0,0,0,0,0,0,1,0,4,0,3,7,1,0,3,89,0,10,3,2,1,1,9,4,3,2,2,8
809,1,4,0,1,3,0,3,4,1,0,2,0,0,0,0,2,4,0,2,5,1,1,4,40,0,18,1,0,0,0,2,7,3,2,2,31
810,0,8,2,1,2,1,2,1,0,0,1,0,0,0,0,3,2,1,2,3,1,0,4,89,1,10,2,1,1,1,12,4,7,2,2,41
811,1,1,3,0,1,2,4,4,1,0,1,1,0,1,0,0,3,1,2,5,0,0,1,89,1,18,2,2,1,1,14,9,6,1,0,1
812,1,1,2,1,2,1,2,1,0,0,0,1,0,0,0,3,4,0,4,1,1,0,3,67,2,22,2,0,1,1,8,5,12,2,2,41
813,1,4,3,0,4,1,1,1,0,0,0,1,0,1,1,0,2,0,2,3,0,0,1,89,2,7,2,2,1,0,9,3,14,1,0,1
814,1,8,0,1,2,3,1,7,1,0,1,0,0,1,0,0,1,0,2,2,1,0,3,40,1,18,3,0,1,0,10,3,7,3,2,9
815,0,4,2,1,1,1,4,2,0,0,0,0,0,0,1,3,4,1,2,5,1,0,3,89,1,18,2,1,0,0,5,8,6,2,2,41
816,0,4,0,0,3,1,2,1,1,0,2,0,0,0,1,0,4,0,1,18,1,0,0,67,0,18,2,0,0,1,3,4,3,2,0,2
817,1,2,4,0,3,1,2,4,1,0,1,0,0,1,0,1,2,0,2,6,1,1,1,89,1,10,2,1,1,1,10,5,8,3,0,16
818,0,1,1,1,1,1,1,3,1,0,2,0,0,0,1,2,2,0,3,0,1,0,1,89,0,10,1,1,1,1,11,2,1,2,2,31
819,0,5,2,0,2,0,0,2,1,1,0,0,0,1,1,0,5,0,2,5,0,0,2,40,2,22,2,0,1,1,11,0,12,1,1,46
820,1,3,0,1,2,3,4,1,0,1,3,1,0,0,1,0,3,0,2,0,1,0,3,40,1,7,2,2,1,0,9,9,7,2,3,12
821,1,6,2,1,2,0,4,6,0,0,1,0,0,0,0,1,4,1,2,13,1,1,4,89,1,10,2,1,1,1,12,9,7,2,2,20
822,1,1,2,0,1,1,2,5,0,0,1,0,0,0,0,3,1,1,2,10,1,0,2,89,0,14,2,1,0,1,4,5,1,2,0,36
823,0,4,2,0,2,1,2,3,1,0,3,1,0,0,0,0,4,0,2,12,1,0,1,89,1,18,2,2,1,1,10,4,7,2,0,2
824,0,4,0,1,3,0,2,4,1,0,2,1,0,0,1,0,4,1,2,5,1,1,4,89,0,14,1,1,1,1,15,4,3,2,2,8
825,1,8,2,1,1,1,1,1,0,1,0,1,0,0,1,0,1,1,1,0,1,1,3,89,1,10,2,0,0,1,5,3,6,2,3,12
826,1,4,1,1,2,0,3,2,0,0,0,1,0,0,1,0,2,1,2,0,1,1,4,40,0,14,2,0,1,1,13,7,2,2,2,8
827,0,0,1,1,3,1,2,1,0,0,0,0,0,0,0,1,2,0,3,0,1,0,2,67,3,10,2,1,1,1,8,4,18,2,2,20
828,0,8,2,1,1,1,1,3,1,1,3,0,0,0,0,0,2,1,4,8,0,0,1,67,0,22,2,2,0,1,6,2,1,0,3,10
829,1,1,2,0,4,3,3,1,1,1,1,0,0,0,1,1,2,1,2,8,1,0,1,67,1,18,2,1,1,0,15,7,9,2,1,17
830,0,8,0,1,3,0,3,7,1,0,1,1,0,0,1,0,5,1,1,17,1,1,2,67,1,14,2,0,0,1,7,6,8,2,2,8
831,0,3,4,1,2,3,2,4,1,0,2,0,0,0,0,0,1,0,1,4,1,0,2,40,0,18,2,1,0,1,2,4,2,2,2,8
832,0,7,1,0,1,1,1,1,1,0,2,0,0,1,0,3,4,0,1,11,0,0,2,67,1,7,3,0,0,0,2,2,6,1,0,35
833,1,0,2,1,3,1,3,0,1,1,0,1,0,0,1,0,2,1,1,8,1,0,2,40,1,14,1,0,0,0,7,7,8,2,3,12
834,1,3,1,1,3,0,0,2,0,0,0,0,0,0,1,0,2,1,2,0,1,1,2,89,0,10,3,2,0,1,5,1,3,2,2,8
835,0,1,2,1,2,3,4,4,0,1,0,1,0,0,0,0,2,0,1,5,1,1,3,89,3,7,1,0,1,1,8,8,17,2,3,12
836,1,8,2,1,3,0,1,7,0,0,2,0,0,0,1,3,5,1,3,2,1,1,0,40,1,14,2,1,0,1,5,3,8,2,2,41
837,1,4,4,1,3,0,1,7,1,0,0,0,0,0,1,2,2,1,0,5,1,1,4,89,1,10,2,1,1,0,15,3,8,2,2,31
838,1,2,1,1,2,1,1,1,0,0,3,1,0,0,1,1,2,1,4,7,1,0,4,89,2,7,2,2,1,0,13,3,12,2,2,20
839,0,1,1,0,2,0,3,7,1,0,1,0,0,0,0,2,4,0,2,5,0,1,0,40,0,22,2,2,0,0,2,6,2,0,0,24
840,0,3,3,1,4,2,2,7,1,0,2,0,0,0,0,3,2,1,3,19,1,1,3,67,3,22,1,2,0,1,6,4,19,2,2,41
841,1,8,1,0,2,0,3,5,0,0,2,1,0,0,1,1,4,1,1,22,1,1,2,89,2,14,2,1,1,0,13,7,12,2,0,46
842,0,3,1,1,1,3,1,2,0,0,0,0,0,0,1,2,5,0,4,12,1,0,3,67,1,7,2,1,1,1,9,2,6,2,2,31
843,0,2,2,1,3,0,1,5,1,0,0,0,0,0,0,1,2,0,4,1,1,1,0,89,1,10,2,1,1,1,10,2,8,2,2,20
844,0,2,0,1,1,3,1,7,1,0,2,1,0,0,0,2,5,1,1,14,1,1,3,40,0,22,2,2,1,0,14,2,1,2,2,31
845,0,4,1,1,2,3,2,3,1,0,0,0,0,1,1,0,3,1,3,1,1,0,0,89,1,18,2,1,1,1,15,4,7,3,2,9
846,1,1,4,1,2,3,3,1,1,0,0,1,0,0,0,0,4,0,4,0,1,1,0,67,2,18,2,1,0,0,2,7,12,2,2,8
847,0,2,1,0,2,1,1,1,0,0,3,1,0,1,0,0,2,1,4,7,0,0,4,89,2,18,1,0,1,1,12,2,12,1,0,1
848,0,8,1,0,3,0,4,3,1,0,1,1,0,0,1,1,2,0,4,1,1,0,1,67,1,22,3,1,1,1,11,8,8,2,0,46
849,1,8,1,0,3,0,4,3,1,0,0,1,0,0,0,0,4,0,2,7,1,0,1,89,4,14,2,1,1,1,10,9,23,2,0,2
850,0,1,3,0,2,1,1,6,0,0,0,0,0,0,1,0,2,0,2,3,1,0,1,89,0,18,1,1,1,0,9,2,2,2,0,2
851,1,1,1,1,1,3,4,2,1,0,0,0,0,0,1,3,4,1,1,12,1,0,3,67,1,18,2,2,1,1,15,9,6,2,2,41
852,1,1,4,0,4,2,2,4,0,0,0,1,0,1,0,1,5,0,4,3,0,1,2,40,2,18,2,1,0,1,0,5,14,1,0,15
853,0,6,3,1,1,1,1,1,1,0,2,0,0,1,0,0,2,0,1,0,0,0,0,67,0,18,3,2,0,1,2,2,1,1,2,7
854,1,1,3,0,3,3,0,2,1,0,2,0,0,0,1,2,2,1,2,16,1,1,2,40,1,7,2,0,1,0,15,1,8,2,0,26
855,1,8,1,1,3,0,0,1,1,0,3,0,0,0,0,2,4,1,0,0,1,0,1,89,2,7,3,1,1,1,14,1,13,2,2,31
856,0,3,1,0,2,0,4,3,0,0,0,1,0,0,1,0,4,0,3,0,1,1,0,40,1,7,1,0,0,0,1,8,7,2,0,2
857,1,8,1,1,3,0,2,3,1,0,1,1,0,1,0,0,2,0,4,1,0,0,4,40,2,18,2,2,1,0,10,5,13,1,2,7
858,0,6,0,0,1,0,3,3,1,0,2,0,0,0,0,1,4,0,1,5,1,1,0,40,1,22,3,1,1,0,10,6,6,2,0,46
859,0,0,3,1,1,1,4,6,1,1,3,0,0,0,0,3,2,1,2,19,1,0,3,40,2,22,1,2,0,0,6,8,11,2,3,44
860,1,1,0,0,2,1,2,2,1,0,0,0,0,0,1,3,1,1,3,2,1,0,0,89,0,14,2,1,0,1,7,5,2,2,0,36
861,0,1,2,1,2,3,0,4,0,0,0,0,0,0,0,3,2,0,1,5,1,1,1,40,3,22,3,0,0,1,0,0,17,2,2,41
862,1,1,0,0,2,1,2,1,0,0,0,0,0,1,0,2,2,1,2,3,0,0,1,40,1,18,1,2,1,1,12,5,7,1,0,25
863,0,5,3,1,3,0,2,5,0,1,2,1,0,0,1,0,4,0,3,7,1,1,4,67,2,7,2,0,0,0,1,4,13,2,3,12
864,0,8,1,0,3,0,4,4,1,0,2,0,0,1,1,0,5,0,2,2,0,0,4,89,2,18,3,2,0,1,3,8,13,1,0,1
865,1,2,0,0,0,3,4,1,1,0,0,1,0,0,1,3,2,1,2,6,1,0,4,40,0,7,1,1,0,1,7,9,0,2,0,36
866,1,2,1,0,3,1,1,1,1,0,1,0,0,1,0,1,4,1,3,0,1,0,4,67,1,22,2,0,1,1,14,3,8,3,0,16
867,1,0,0,0,2,1,1,2,0,0,0,0,0,1,0,2,2,0,0,2,0,1,4,89,0,18,3,2,1,1,8,3,2,1,0,25
868,1,0,2,1,4,1,2,1,0,0,1,1,0,0,0,3,2,0,3,9,1,0,3,40,1,14,2,2,1,1,8,5,9,2,2,41
869,0,3,1,1,2,0,4,2,1,1,1,0,0,0,1,1,3,0,2,24,1,0,4,40,1,7,1,0,0,0,3,8,7,2,3,22
870,1,4,1,0,2,3,3,4,0,0,1,0,0,0,0,3,4,1,4,22,1,0,4,40,1,7,2,1,1,1,12,7,7,2,0,36
